"url","Ulica","Povrsina","Vrsta","Korisnik","Nacin koristenja","Djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LIVADIĆEVA%200010","LIVADIĆEVA 0010","18,25","poslovni prostor","VESNA SVIBEN","ugovor o zakupu","pedikerska djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LIVADIĆEVA%200010","LIVADIĆEVA 0010","17,22","poslovni prostor","Bijeli zmaj j.d.o.o.","ugovor o zakupu","frizerske djelatnosti uz elemente šminke i manikure"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LIVADIĆEVA%200010","LIVADIĆEVA 0010","18,48","poslovni prostor","INES OSMANČEVIĆ","ugovor o zakupu","second hand shop"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOMNIČKA%200001","LOMNIČKA 0001","89,00","poslovni prostor","PARTNERSTVO ZA DRUŠTVENI RAZVOJ","ugovor o korištenju","potrebe održavanja seminara, radionica o izgradnji institucija, organizacijskog razvoja, zaštite ljudskih prava, za stručna savjetovanja, rad s medijima, izdavaštvo, elektronsku medijsku djelatnost i dr."
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOPATINEČKA%200015","LOPATINEČKA 0015","26,20","poslovni prostor","GRAD ZAGREB","u korištenju gradske uprave",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOPATINEČKA%200015","LOPATINEČKA 0015","29,70","poslovni prostor","GRAD ZAGREB","u korištenju gradske uprave",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOPATINEČKA%200017","LOPATINEČKA 0017","30,97","poslovni prostor","STUDIO LADY JDOO","ugovor o zakupu","djelatnost za njegu i održavanje tijela, frizerski salon, salon za uljepšavanje i proizvodnju kozmetičkih proizvoda"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOPATINEČKA%200017","LOPATINEČKA 0017","73,99","poslovni prostor","UDRUGA ZA KREATIVNI SOCIJALNI RAD","ugovor o korištenju","besplatna psihosocijalna pomoć za marginalizirane članove društva, besplatne kreativne i rekreativne radionice za korisnike udruge, besplatna individualna, partnerska i obiteljska savjetovanja"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOVĆENSKA%200066","LOVĆENSKA 0066","23,80","garaža","SMOLAR VELIMIR","ugovor o zakupu","smještaj automobila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LOVRE%20RATKOVIĆA%200002","LOVRE RATKOVIĆA 0002","279,49","poslovni prostor","Nastavni zavod za hitnu medicinu Grada Zagreba","ugovor o zakupu","djelatnost Zavoda-podstanica za hitnu medicinu"
