"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"2151","Primorsko-goranska","KRK","11,061.97 ","10,554.44 ","10,896.75 ","10,473.69 ","10,182.27 ","10,969.1","12,109.1","12,292.42","","","",""
"2160","Karlovačka","KRNJAK","-","-","-","-","-","-","-","z","","","",""
"2178","Istarska","KRŠAN","z","z","z","z","z","z","z","z","","","",""
"5720","Zadarska","KUKLJICA","z","z","z","-","z","z","z","z","","","",""
"2194","Dubrovačko-neretvanska","KULA NORINSKA","-","-","-","-","z","-","-",".","","","",""
"5533","Krapinsko-zagorska","KUMROVEC","z","z","-","-","z","-","-","z","","","",""
"2208","Sisačko-moslavačka","KUTINA","6,389.44 ","5,655.80 ","4,725.81 ","4,375.44 ","4,323.38 ","4,729.8","4,656.2","4,676.59","","","",""
"2216","Požeško-slavonska","KUTJEVO","-","z","-","z","z","-","z","z","","","",""
"2224","Istarska","LABIN","6,990.44 ","6,768.48 ","6,781.31 ","6,969.54 ","6,965.84 ","6,689.2","7,205.7","7,274.00","","","",""
"2232","Istarska","LANIŠĆE","-","-","-","-","-","-","-",".","","","",""
"2259","Karlovačka","LASINJA","-","-","-","-","-","-","-","z","","","",""
"2267","Dubrovačko-neretvanska","LASTOVO","z","z","z","-","z","z","z","z","","","",""
"5860","Splitsko-dalmatinska","LEĆEVICA","-","-","-","-","-","-","-",".","","","",""
"2275","Koprivničko-križevačka","LEGRAD","-","z","-","-","-","-","z","z","","","",""
"2283","Sisačko-moslavačka","LEKENIK","-","-","-","-","-","-","-",".","","","",""
"2291","Varaždinska","LEPOGLAVA","z","z","z","z","z","-","z","z","","","",""
"2305","Osječko-baranjska","LEVANJSKA VAROŠ","-","-","-","-","-","-","-",".","","","",""
"2313","Požeško-slavonska","LIPIK","z","z","z","z","z","z","z","3,110.55","","","",""
"2321","Sisačko-moslavačka","LIPOVLJANI","z","-","-","-","-","-","z",".","","","",""
"2348","Zadarska","LIŠANE OSTROVIČKE","-","-","-","-","-","-","-",".","","","",""
"2356","Istarska","LIŽNJAN - LISIGNANO","7,804.84 ","7,381.63 ","7,093.96 ","5,812.71 ","6,286.03 ","7,536.8","7,911.4","8,504.03","","","",""
"2470","Varaždinska","LJUBEŠĆICA","-","z","-","-","-","-","-","z","","","",""
"2364","Krapinsko-zagorska","LOBOR","-","-","-","-","-","-","-",".","","","",""
"2372","Primorsko-goranska","LOKVE","-","z","z","-","z","-","-",".","","","",""
"5878","Splitsko-dalmatinska","LOKVIČIĆI","-","-","-","-","-","-","-",".","","","",""
"6246","Primorsko-goranska","LOPAR","-","-","-","z","-","z","z","z","","","",""
"2399","Vukovarsko-srijemska","LOVAS","-","-","-","-","-","-","-",".","","","",""
"2402","Ličko-senjska","LOVINAC","-","-","-","-","-","-","-","z","","","",""
"2429","Primorsko-goranska","LOVRAN","12,167.96 ","11,519.14 ","11,987.37 ","6,381.55 ","10,570.97 ","11,254.0","10,862.3","12,706.75","","","",""
"2437","Splitsko-dalmatinska","LOVREĆ","-","-","z","z","-","-","-",".","","","",""
"2445","Varaždinska","LUDBREG","5,842.01 ","5,289.64 ","4,846.96 ","4,314.93 ","3,985.53 ","5,330.2","4,997.8","4,449.94","","","",""
"5487","Zagrebačka","LUKA","-","-","-","-","-","-","-",".","","","",""
"2453","Virovitičko-podravska","LUKAČ","-","-","-","z","-","-","-",".","","","",""
"6009","Dubrovačko-neretvanska","LUMBARDA","z","z","z","z","z","z","z","z","","","",""
"2461","Istarska","LUPOGLAV","-","-","-","-","-","-","-",".","","","",""
"2488","Krapinsko-zagorska","MAČE","z","z","z","-","-","-","z","z","","","",""
"5789","Osječko-baranjska","MAGADENOVAC","-","-","-","-","-","-","-",".","","","",""
"5550","Sisačko-moslavačka","MAJUR","-","-","-","-","-","-","-",".","","","",""
"2496","Splitsko-dalmatinska","MAKARSKA","12,444.89 ","11,164.28 ","7,832.44 ","10,718.76 ","10,721.29 ","11,311.0","11,084.0","11,517.57","","","",""
"2500","Međimurska","MALA SUBOTICA","-","-","-","-","-","-","-",".","","","",""
"2518","Varaždinska","MALI BUKOVEC","-","-","-","-","-","-","-",".","","","",""
"2526","Primorsko-goranska","MALI LOŠINJ","10,762.11 ","10,146.97 ","8,805.93 ","10,044.46 ","9,836.92 ","10,129.6","10,246.6","11,587.67","","","",""
